VLocation: 0x68
Message: 0x158
Person: 0x228
Agent: 0x2a0
Player: 0x35c
Option: 0xcc
VLocationSpecial: 0x70
LanComputer: 0x188
LanComputerSystem: 0x40
LanComputerLink: 0x28
Computer: 0x168
Data: 0x5c
AccessLog: 0xd4
Record: 0x14
BankComputer: 0x17c
BankAccount: 0xf8
SecuritySystem: 0x10
GenericScreen: 0xcc
MessageScreen: 0xd4
PasswordScreen: 0x10c
MenuScreen: 0xd8
MenuScreenOption: 0xcc
DialogScreen: 0xe0
DialogScreenWidget: 0x34
UserIDScreen: 0xcc
LogScreen: 0xcc
BBSScreen: 0xcc
LinksScreen: 0xcc
SharesListScreen: 0xd0
CypherScreen: 0xcc
HighSecurityScreen: 0xdc
DisconnectedScreen: 0xcc
Company: 0x188
CompanyUplink: 0x1d8
Mission: 0x304
Sale: 0x5c
SaleVersion: 0x14
News: 0x1b0
NotificationEvent: 0x2c
ArrestEvent: 0xb0
ShotByFedsEvent: 0xac
SeizeGatewayEvent: 0xb0
InstallHardwareEvent: 0x30
WarningEvent: 0x2c
AttemptMissionEvent: 0xa8
RunPlotSceneEvent: 0x30
ChangeGatewayEvent: 0x2c
BankRobberyEvent: 0x250
